State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date,source_file
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2000.0,1000.0,Rs./Quintal,395.60,Metric Tonnes,2025-11-07,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2000.0,1000.0,Rs./Quintal,687.90,Metric Tonnes,2025-11-08,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2000.0,1000.0,Rs./Quintal,606.30,Metric Tonnes,2025-11-10,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,1900.0,900.0,Rs./Quintal,419.40,Metric Tonnes,2025-11-11,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2000.0,1000.0,Rs./Quintal,451.90,Metric Tonnes,2025-11-12,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2000.0,1000.0,Rs./Quintal,366.90,Metric Tonnes,2025-11-13,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2000.0,1000.0,Rs./Quintal,425.30,Metric Tonnes,2025-11-14,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2100.0,1000.0,Rs./Quintal,472.90,Metric Tonnes,2025-11-15,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2100.0,1000.0,Rs./Quintal,475.40,Metric Tonnes,2025-11-17,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2000.0,1000.0,Rs./Quintal,345.50,Metric Tonnes,2025-11-18,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2100.0,1000.0,Rs./Quintal,434.70,Metric Tonnes,2025-11-19,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2000.0,1000.0,Rs./Quintal,461.10,Metric Tonnes,2025-11-20,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2000.0,1000.0,Rs./Quintal,511.30,Metric Tonnes,2025-11-21,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2000.0,1000.0,Rs./Quintal,579.40,Metric Tonnes,2025-11-22,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,1800.0,900.0,Rs./Quintal,534.40,Metric Tonnes,2025-11-24,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,1800.0,900.0,Rs./Quintal,407.60,Metric Tonnes,2025-11-25,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,1700.0,900.0,Rs./Quintal,401.90,Metric Tonnes,2025-11-26,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,1900.0,1000.0,Rs./Quintal,423.80,Metric Tonnes,2025-11-27,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,1800.0,1000.0,Rs./Quintal,389.40,Metric Tonnes,2025-11-28,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,1900.0,1100.0,Rs./Quintal,535.20,Metric Tonnes,2025-11-29,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,1800.0,1000.0,Rs./Quintal,479.50,Metric Tonnes,2025-12-01,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,1800.0,1000.0,Rs./Quintal,314.80,Metric Tonnes,2025-12-02,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2000.0,1100.0,Rs./Quintal,432.10,Metric Tonnes,2025-12-03,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,1800.0,1000.0,Rs./Quintal,344.20,Metric Tonnes,2025-12-04,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,1800.0,1000.0,Rs./Quintal,419.80,Metric Tonnes,2025-12-05,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2100.0,1100.0,Rs./Quintal,562.40,Metric Tonnes,2025-12-06,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2100.0,1000.0,Rs./Quintal,565.10,Metric Tonnes,2025-12-08,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2200.0,1200.0,Rs./Quintal,350.30,Metric Tonnes,2025-12-09,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2200.0,1200.0,Rs./Quintal,367.30,Metric Tonnes,2025-12-10,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2700.0,1400.0,Rs./Quintal,237.50,Metric Tonnes,2025-12-11,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,800.0,3200.0,1800.0,Rs./Quintal,593.40,Metric Tonnes,2025-12-13,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,800.0,4000.0,1900.0,Rs./Quintal,466.30,Metric Tonnes,2025-12-15,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,800.0,4000.0,2000.0,Rs./Quintal,472.80,Metric Tonnes,2025-12-16,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,4000.0,1800.0,Rs./Quintal,656.80,Metric Tonnes,2025-12-17,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,3000.0,1600.0,Rs./Quintal,565.00,Metric Tonnes,2025-12-18,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2500.0,1300.0,Rs./Quintal,503.80,Metric Tonnes,2025-12-19,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2500.0,1300.0,Rs./Quintal,509.80,Metric Tonnes,2025-12-20,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2700.0,1400.0,Rs./Quintal,395.90,Metric Tonnes,2025-12-22,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,3300.0,1700.0,Rs./Quintal,313.30,Metric Tonnes,2025-12-23,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2500.0,1500.0,Rs./Quintal,503.70,Metric Tonnes,2025-12-24,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2500.0,1300.0,Rs./Quintal,445.90,Metric Tonnes,2025-12-25,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2500.0,1300.0,Rs./Quintal,522.40,Metric Tonnes,2025-12-26,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2600.0,1400.0,Rs./Quintal,845.00,Metric Tonnes,2025-12-27,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2500.0,1300.0,Rs./Quintal,785.00,Metric Tonnes,2025-12-29,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2200.0,1200.0,Rs./Quintal,613.00,Metric Tonnes,2025-12-30,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2400.0,1300.0,Rs./Quintal,630.80,Metric Tonnes,2025-12-31,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2200.0,1200.0,Rs./Quintal,533.80,Metric Tonnes,2026-01-01,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2200.0,1100.0,Rs./Quintal,461.50,Metric Tonnes,2026-01-02,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
Maharashtra,Kolhapur,Kolhapur,Vegetables,Onion,Other,Local,500.0,2300.0,1300.0,Rs./Quintal,888.40,Metric Tonnes,2026-01-03,Daily_Price_Arrival_Report-07-11-2025_to_25-09-2026_for_Sangli_Kolhapur_Onion.csv
