,,,,,,,Daily Price Arrival Report-07-11-2025 to 25-09-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,000.00","5,000.00","2,800.00",Rs./Quintal,366.70,Metric Tonnes,24-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,000.00","5,000.00","3,000.00",Rs./Quintal,533.80,Metric Tonnes,23-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,000.00","3,000.00",Rs./Quintal,284.60,Metric Tonnes,22-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,200.00","3,200.00",Rs./Quintal,543.80,Metric Tonnes,21-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,200.00","3,200.00",Rs./Quintal,466.30,Metric Tonnes,18-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,400.00","3,200.00",Rs./Quintal,288.30,Metric Tonnes,17-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,200.00","3,000.00",Rs./Quintal,290.90,Metric Tonnes,16-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,200.00","3,200.00",Rs./Quintal,280.40,Metric Tonnes,15-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,000.00","3,000.00",Rs./Quintal,610.50,Metric Tonnes,12-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,000.00","2,800.00",Rs./Quintal,342.30,Metric Tonnes,11-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,000.00","2,900.00",Rs./Quintal,378.40,Metric Tonnes,10-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,000.00","3,000.00",Rs./Quintal,526.20,Metric Tonnes,09-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,000.00","3,000.00",Rs./Quintal,334.90,Metric Tonnes,08-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,200.00","3,000.00",Rs./Quintal,491.70,Metric Tonnes,07-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,300.00","3,200.00",Rs./Quintal,696.70,Metric Tonnes,05-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,300.00","3,200.00",Rs./Quintal,500.20,Metric Tonnes,04-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,200.00","3,000.00",Rs./Quintal,413.30,Metric Tonnes,03-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,500.00","3,200.00",Rs./Quintal,558.50,Metric Tonnes,02-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,200.00","5,000.00","3,000.00",Rs./Quintal,300.00,Metric Tonnes,01-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,000.00","4,800.00","2,800.00",Rs./Quintal,274.00,Metric Tonnes,31-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,000.00","4,500.00","2,400.00",Rs./Quintal,574.50,Metric Tonnes,29-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,000.00","4,500.00","2,300.00",Rs./Quintal,335.10,Metric Tonnes,28-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,000.00","4,500.00","2,300.00",Rs./Quintal,438.30,Metric Tonnes,27-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Onion,Other,Local,"1,100.00","4,500.00","2,300.00",Rs./Quintal,520.00,Metric Tonnes,26-08-2026
