,,,,All Type of Report (All Grades) for 01-Jan-2021 to 09-Sep-2026,,,,
State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity 01-01-2021 to 09-09-2026,Arrival Unit,Modal Price 01-01-2021 to 09-09-2026,Price Unit
Maharashtra,Kolhapur,Vegetables,Onion,01-01-2021,84.00,Metric Tonnes,2700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,02-01-2021,439.00,Metric Tonnes,2800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,04-01-2021,445.00,Metric Tonnes,2800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,05-01-2021,402.00,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,06-01-2021,410.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,14-01-2021,161.00,Metric Tonnes,2700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,16-01-2021,275.00,Metric Tonnes,3000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,18-01-2021,423.00,Metric Tonnes,2900.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,19-01-2021,239.00,Metric Tonnes,2900.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,20-01-2021,489.00,Metric Tonnes,2800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,21-01-2021,470.00,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,22-01-2021,521.00,Metric Tonnes,2700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,23-01-2021,838.00,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,25-01-2021,809.00,Metric Tonnes,2400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,27-01-2021,571.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,28-01-2021,302.00,Metric Tonnes,2300.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,29-01-2021,441.00,Metric Tonnes,2300.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,30-01-2021,553.00,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,01-02-2021,539.00,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,02-02-2021,326.00,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,03-02-2021,368.00,Metric Tonnes,3000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,04-02-2021,413.00,Metric Tonnes,2900.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,05-02-2021,373.00,Metric Tonnes,2700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,06-02-2021,439.00,Metric Tonnes,2700.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,09-02-2021,302.00,Metric Tonnes,3000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,10-02-2021,399.00,Metric Tonnes,3200.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Onion,11-02-2021,337.00,Metric Tonnes,3200.00,Rs./Quintal
