,,,,All Type of Report (All Grades) for 09-Jan-2021 to 09-Sep-2026,,,,
State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity 09-01-2021 to 09-09-2026,Arrival Unit,Modal Price 09-01-2021 to 09-09-2026,Price Unit
Maharashtra,Sangli,Vegetables,Onion,14-01-2021,89.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,16-01-2021,302.00,Metric Tonnes,2250.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,18-01-2021,363.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,19-01-2021,233.00,Metric Tonnes,2250.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,20-01-2021,563.00,Metric Tonnes,2000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,21-01-2021,298.00,Metric Tonnes,2400.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,22-01-2021,298.00,Metric Tonnes,2100.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,23-01-2021,687.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,25-01-2021,573.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,27-01-2021,506.00,Metric Tonnes,1700.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,28-01-2021,281.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,29-01-2021,341.00,Metric Tonnes,1900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,30-01-2021,332.00,Metric Tonnes,2100.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,01-02-2021,310.00,Metric Tonnes,2200.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,02-02-2021,174.00,Metric Tonnes,2300.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,03-02-2021,347.00,Metric Tonnes,2600.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,04-02-2021,179.00,Metric Tonnes,2300.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,05-02-2021,302.00,Metric Tonnes,2150.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Onion,06-02-2021,421.00,Metric Tonnes,2250.00,Rs./Quintal
