,,,,All Type of Report (All Grades) for 01-Jan-2021 to 09-Sep-2026,,,,
State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity 01-01-2021 to 09-09-2026,Arrival Unit,Modal Price 01-01-2021 to 09-09-2026,Price Unit
Maharashtra,Kolhapur,Vegetables,Tomato,01-01-2021,9.00,Metric Tonnes,650.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,02-01-2021,65.00,Metric Tonnes,718.46,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,03-01-2021,36.00,Metric Tonnes,550.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,04-01-2021,72.00,Metric Tonnes,568.75,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,05-01-2021,49.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,06-01-2021,57.00,Metric Tonnes,478.07,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,11-01-2021,6.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,12-01-2021,5.00,Metric Tonnes,1800.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,13-01-2021,9.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,14-01-2021,34.00,Metric Tonnes,488.24,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,16-01-2021,47.00,Metric Tonnes,426.60,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,17-01-2021,39.00,Metric Tonnes,350.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,18-01-2021,63.00,Metric Tonnes,354.76,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,19-01-2021,37.00,Metric Tonnes,368.92,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,20-01-2021,45.00,Metric Tonnes,363.33,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,21-01-2021,43.00,Metric Tonnes,350.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,22-01-2021,5.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,23-01-2021,61.00,Metric Tonnes,300.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,24-01-2021,27.00,Metric Tonnes,400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,25-01-2021,47.00,Metric Tonnes,362.77,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,27-01-2021,50.00,Metric Tonnes,360.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,28-01-2021,35.00,Metric Tonnes,400.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,29-01-2021,9.00,Metric Tonnes,300.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,30-01-2021,66.00,Metric Tonnes,481.82,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,31-01-2021,33.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,01-02-2021,57.00,Metric Tonnes,442.98,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,02-02-2021,19.00,Metric Tonnes,550.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,03-02-2021,59.00,Metric Tonnes,522.88,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,04-02-2021,33.00,Metric Tonnes,531.82,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,05-02-2021,5.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,06-02-2021,67.00,Metric Tonnes,564.93,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,07-02-2021,26.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,09-02-2021,32.00,Metric Tonnes,593.75,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,10-02-2021,49.00,Metric Tonnes,692.86,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,11-02-2021,40.00,Metric Tonnes,761.50,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,12-02-2021,6.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,13-02-2021,61.00,Metric Tonnes,804.10,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,14-02-2021,19.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,15-02-2021,67.00,Metric Tonnes,817.91,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,16-02-2021,37.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,17-02-2021,65.00,Metric Tonnes,799.23,Rs./Quintal
Maharashtra,Kolhapur,Vegetables,Tomato,18-02-2021,59.00,Metric Tonnes,681.36,Rs./Quintal
