,,,,All Type of Report (All Grades) for 01-Jan-2021 to 09-Sep-2026,,,,
State/UT,District,Commodity Group,Commodity,Date,Arrival Quantity 01-01-2021 to 09-09-2026,Arrival Unit,Modal Price 01-01-2021 to 09-09-2026,Price Unit
Maharashtra,Sangli,Vegetables,Tomato,01-01-2021,18.00,Metric Tonnes,1033.33,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,02-01-2021,1.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,03-01-2021,6.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,04-01-2021,3.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,05-01-2021,7.00,Metric Tonnes,757.14,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,07-01-2021,4.00,Metric Tonnes,600.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,08-01-2021,3.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,09-01-2021,3.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,10-01-2021,6.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,11-01-2021,5.00,Metric Tonnes,250.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,12-01-2021,17.00,Metric Tonnes,617.65,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,14-01-2021,4.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,15-01-2021,11.00,Metric Tonnes,436.36,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,16-01-2021,2.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,17-01-2021,15.00,Metric Tonnes,536.67,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,18-01-2021,5.00,Metric Tonnes,350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,19-01-2021,28.00,Metric Tonnes,467.86,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,21-01-2021,7.00,Metric Tonnes,507.14,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,22-01-2021,24.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,24-01-2021,17.00,Metric Tonnes,435.29,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,26-01-2021,14.00,Metric Tonnes,589.29,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,28-01-2021,4.00,Metric Tonnes,400.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,29-01-2021,20.00,Metric Tonnes,485.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,31-01-2021,10.00,Metric Tonnes,3610.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,02-02-2021,18.00,Metric Tonnes,486.11,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,04-02-2021,2.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,05-02-2021,16.00,Metric Tonnes,571.88,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,09-02-2021,15.00,Metric Tonnes,1066.67,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,11-02-2021,3.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,12-02-2021,15.00,Metric Tonnes,873.33,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,13-02-2021,1.00,Metric Tonnes,600.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,14-02-2021,12.00,Metric Tonnes,1150.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,15-02-2021,2.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,16-02-2021,13.00,Metric Tonnes,1330.77,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,18-02-2021,6.00,Metric Tonnes,983.33,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,19-02-2021,22.00,Metric Tonnes,1086.36,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,20-02-2021,4.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,21-02-2021,11.00,Metric Tonnes,720.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,22-02-2021,3.00,Metric Tonnes,866.67,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,23-02-2021,19.00,Metric Tonnes,884.21,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,25-02-2021,4.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,26-02-2021,15.00,Metric Tonnes,666.67,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,27-02-2021,2.00,Metric Tonnes,650.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,28-02-2021,7.00,Metric Tonnes,621.43,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,01-03-2021,1.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,02-03-2021,20.00,Metric Tonnes,840.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,04-03-2021,7.00,Metric Tonnes,985.71,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,05-03-2021,3.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,06-03-2021,1.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,07-03-2021,1.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,08-03-2021,2.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,09-03-2021,3.00,Metric Tonnes,566.67,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,11-03-2021,2.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,12-03-2021,2.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,13-03-2021,2.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,14-03-2021,2.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,15-03-2021,2.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,16-03-2021,1.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,18-03-2021,1.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,19-03-2021,2.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,20-03-2021,2.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,21-03-2021,8.00,Metric Tonnes,875.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,22-03-2021,2.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,23-03-2021,13.00,Metric Tonnes,1338.46,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,25-03-2021,2.00,Metric Tonnes,450.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,26-03-2021,15.00,Metric Tonnes,1213.33,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,27-03-2021,1.00,Metric Tonnes,650.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,28-03-2021,3.00,Metric Tonnes,650.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,29-03-2021,1.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,30-03-2021,8.00,Metric Tonnes,793.75,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,01-04-2021,1.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,02-04-2021,10.00,Metric Tonnes,870.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,03-04-2021,2.00,Metric Tonnes,650.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,04-04-2021,1.00,Metric Tonnes,650.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,05-04-2021,2.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,06-04-2021,12.00,Metric Tonnes,1087.50,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,08-04-2021,1.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,09-04-2021,13.00,Metric Tonnes,996.15,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,12-04-2021,1.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,13-04-2021,10.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,15-04-2021,4.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,16-04-2021,7.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,18-04-2021,4.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,20-04-2021,8.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,22-04-2021,4.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,23-04-2021,5.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,25-04-2021,4.00,Metric Tonnes,812.50,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,27-04-2021,8.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,29-04-2021,2.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,30-04-2021,8.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,02-05-2021,6.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,04-05-2021,5.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,21-05-2021,1.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,25-05-2021,1.00,Metric Tonnes,500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,28-05-2021,2.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,01-06-2021,2.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,04-06-2021,1.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,08-06-2021,2.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,11-06-2021,2.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,13-06-2021,2.00,Metric Tonnes,800.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,15-06-2021,2.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,18-06-2021,1.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,27-07-2021,2.00,Metric Tonnes,1100.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,01-08-2021,2.00,Metric Tonnes,1500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,03-08-2021,1.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,06-08-2021,3.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,08-08-2021,1.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,10-08-2021,3.00,Metric Tonnes,900.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,16-09-2021,2.00,Metric Tonnes,650.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,17-09-2021,3.00,Metric Tonnes,850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,18-09-2021,3.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,19-09-2021,2.00,Metric Tonnes,1000.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,20-09-2021,2.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,21-09-2021,2.00,Metric Tonnes,700.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,23-09-2021,2.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,24-09-2021,2.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,25-09-2021,2.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,26-09-2021,2.00,Metric Tonnes,750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,27-09-2021,2.00,Metric Tonnes,1300.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,28-09-2021,2.00,Metric Tonnes,1200.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,30-09-2021,3.00,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,01-10-2021,2.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,02-10-2021,2.00,Metric Tonnes,2150.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,03-10-2021,2.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,04-10-2021,2.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,05-10-2021,4.00,Metric Tonnes,1975.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,07-10-2021,2.00,Metric Tonnes,2750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,08-10-2021,4.00,Metric Tonnes,2525.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,09-10-2021,2.00,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,10-10-2021,6.00,Metric Tonnes,3133.33,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,11-10-2021,2.00,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,12-10-2021,8.00,Metric Tonnes,2762.50,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,14-10-2021,3.00,Metric Tonnes,2966.67,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,15-10-2021,8.00,Metric Tonnes,2687.50,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,16-10-2021,2.00,Metric Tonnes,2750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,17-10-2021,4.00,Metric Tonnes,2875.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,18-10-2021,2.00,Metric Tonnes,3750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,19-10-2021,5.00,Metric Tonnes,3300.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,21-10-2021,4.00,Metric Tonnes,3525.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,22-10-2021,9.00,Metric Tonnes,3294.44,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,23-10-2021,3.00,Metric Tonnes,2750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,24-10-2021,3.00,Metric Tonnes,2833.33,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,25-10-2021,2.00,Metric Tonnes,2730.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,26-10-2021,6.00,Metric Tonnes,2758.33,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,28-10-2021,3.00,Metric Tonnes,2933.33,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,29-10-2021,6.00,Metric Tonnes,3116.67,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,30-10-2021,2.00,Metric Tonnes,2750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,31-10-2021,5.00,Metric Tonnes,2760.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,01-11-2021,2.00,Metric Tonnes,2750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,02-11-2021,10.00,Metric Tonnes,2850.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,04-11-2021,3.00,Metric Tonnes,3100.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,05-11-2021,7.00,Metric Tonnes,2500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,06-11-2021,1.00,Metric Tonnes,2750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,07-11-2021,2.00,Metric Tonnes,3025.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,08-11-2021,1.00,Metric Tonnes,2750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,09-11-2021,11.00,Metric Tonnes,2227.27,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,11-11-2021,5.00,Metric Tonnes,2530.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,12-11-2021,6.00,Metric Tonnes,2983.33,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,13-11-2021,3.00,Metric Tonnes,2350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,14-11-2021,5.00,Metric Tonnes,2730.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,15-11-2021,3.00,Metric Tonnes,1750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,16-11-2021,11.00,Metric Tonnes,3263.64,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,18-11-2021,6.00,Metric Tonnes,3775.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,19-11-2021,8.00,Metric Tonnes,3406.25,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,20-11-2021,2.00,Metric Tonnes,4350.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,21-11-2021,7.00,Metric Tonnes,3500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,22-11-2021,3.00,Metric Tonnes,4500.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,23-11-2021,9.00,Metric Tonnes,4183.33,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,25-11-2021,6.00,Metric Tonnes,3775.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,26-11-2021,7.00,Metric Tonnes,3678.57,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,27-11-2021,3.00,Metric Tonnes,3750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,28-11-2021,4.00,Metric Tonnes,2750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,29-11-2021,7.00,Metric Tonnes,2750.00,Rs./Quintal
Maharashtra,Sangli,Vegetables,Tomato,30-11-2021,7.00,Metric Tonnes,2628.57,Rs./Quintal
