,,,,,,,Daily Price Arrival Report-07-11-2025 to 11-09-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,9.90,Metric Tonnes,10-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,29.80,Metric Tonnes,09-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,18.00,Metric Tonnes,08-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,18.90,Metric Tonnes,07-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,"1,000.00","1,600.00","1,300.00",Rs./Quintal,10.90,Metric Tonnes,06-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,200.00",900.00,Rs./Quintal,14.30,Metric Tonnes,05-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,600.00,"1,400.00","1,000.00",Rs./Quintal,18.90,Metric Tonnes,03-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,600.00,"1,400.00","1,000.00",Rs./Quintal,20.70,Metric Tonnes,02-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,200.00",800.00,Rs./Quintal,20.30,Metric Tonnes,01-09-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,24.00,Metric Tonnes,31-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,11.70,Metric Tonnes,30-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,20.80,Metric Tonnes,29-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,600.00,"1,400.00","1,000.00",Rs./Quintal,9.80,Metric Tonnes,27-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,200.00",800.00,Rs./Quintal,18.00,Metric Tonnes,26-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,12.40,Metric Tonnes,25-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,32.20,Metric Tonnes,24-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,200.00","1,000.00",Rs./Quintal,19.50,Metric Tonnes,23-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,200.00",900.00,Rs./Quintal,22.20,Metric Tonnes,22-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,200.00","1,000.00",Rs./Quintal,31.80,Metric Tonnes,20-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,21.00,Metric Tonnes,19-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,21.90,Metric Tonnes,18-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,32.20,Metric Tonnes,17-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,32.00,Metric Tonnes,16-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,31.10,Metric Tonnes,13-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,24.60,Metric Tonnes,12-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,19.90,Metric Tonnes,11-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,17.30,Metric Tonnes,09-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,20.50,Metric Tonnes,08-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,500.00,"1,500.00","1,000.00",Rs./Quintal,24.60,Metric Tonnes,06-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,800.00,"1,600.00","1,200.00",Rs./Quintal,25.30,Metric Tonnes,05-08-2026
Maharashtra,Kolhapur,APMC Kolhapur ,Vegetables,Tomato,Other,Local,800.00,"1,600.00","1,200.00",Rs./Quintal,13.00,Metric Tonnes,04-08-2026
