,,,,,,,Daily Price Arrival Report-07-11-2025 to 11-09-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"2,500.00","5,300.00","3,700.00",Rs./Quintal,2.00,Metric Tonnes,10-09-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"3,500.00","5,000.00","4,350.00",Rs./Quintal,0.40,Metric Tonnes,06-09-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"2,000.00","4,300.00","3,200.00",Rs./Quintal,3.50,Metric Tonnes,27-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"2,000.00","4,000.00","2,600.00",Rs./Quintal,6.00,Metric Tonnes,25-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"1,000.00","4,000.00","2,200.00",Rs./Quintal,2.50,Metric Tonnes,23-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"1,800.00","4,500.00","2,500.00",Rs./Quintal,3.50,Metric Tonnes,20-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"1,500.00","2,800.00","2,000.00",Rs./Quintal,7.50,Metric Tonnes,13-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"1,500.00","2,800.00","2,100.00",Rs./Quintal,3.50,Metric Tonnes,09-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"1,400.00","2,700.00","2,000.00",Rs./Quintal,8.70,Metric Tonnes,06-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"1,500.00","2,700.00","2,000.00",Rs./Quintal,4.50,Metric Tonnes,04-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"1,000.00","2,500.00","1,750.00",Rs./Quintal,4.00,Metric Tonnes,02-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"1,000.00","2,500.00","1,750.00",Rs./Quintal,4.00,Metric Tonnes,30-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"1,000.00","2,500.00","1,750.00",Rs./Quintal,7.50,Metric Tonnes,28-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"1,000.00","2,500.00","1,750.00",Rs./Quintal,6.50,Metric Tonnes,23-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,"1,000.00","2,300.00","1,650.00",Rs./Quintal,4.00,Metric Tonnes,17-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,700.00,"1,000.00",850.00,Rs./Quintal,22.90,Metric Tonnes,23-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,900.00,"1,300.00","1,100.00",Rs./Quintal,11.80,Metric Tonnes,21-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,500.00,"1,200.00",850.00,Rs./Quintal,22.40,Metric Tonnes,19-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,700.00,"1,400.00","1,000.00",Rs./Quintal,26.80,Metric Tonnes,16-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,900.00,"1,300.00","1,100.00",Rs./Quintal,21.70,Metric Tonnes,14-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,900.00,"1,300.00","1,150.00",Rs./Quintal,20.80,Metric Tonnes,12-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,900.00,"1,300.00","1,100.00",Rs./Quintal,32.30,Metric Tonnes,10-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Onion,Local,Local,500.00,"1,400.00",850.00,Rs./Quintal,54.50,Metric Tonnes,07-04-2026
