,,,,,,,Daily Price Arrival Report-07-11-2025 to 11-09-2026 for Maharashtra,,,,,,
State/UT,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,150.00",Rs./Quintal,2.40,Metric Tonnes,10-09-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,4.20,Metric Tonnes,08-09-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,450.00",Rs./Quintal,2.40,Metric Tonnes,06-09-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,200.00",Rs./Quintal,8.20,Metric Tonnes,04-09-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,4.60,Metric Tonnes,30-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,11.50,Metric Tonnes,28-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,2.80,Metric Tonnes,27-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,500.00,"1,000.00",750.00,Rs./Quintal,12.20,Metric Tonnes,25-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,7.20,Metric Tonnes,23-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,4.60,Metric Tonnes,20-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,10.20,Metric Tonnes,18-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,4.00,Metric Tonnes,16-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,5.80,Metric Tonnes,13-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,7.30,Metric Tonnes,11-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,5.80,Metric Tonnes,09-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,4.80,Metric Tonnes,07-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,2.60,Metric Tonnes,06-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,8.60,Metric Tonnes,04-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,200.00","1,100.00",Rs./Quintal,8.10,Metric Tonnes,02-08-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,4.40,Metric Tonnes,30-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,200.00","1,150.00",Rs./Quintal,11.00,Metric Tonnes,28-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,8.80,Metric Tonnes,24-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,8.90,Metric Tonnes,21-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,500.00","2,000.00","1,750.00",Rs./Quintal,11.40,Metric Tonnes,17-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,6.00,Metric Tonnes,16-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,500.00","2,000.00","1,750.00",Rs./Quintal,3.60,Metric Tonnes,14-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,500.00","2,000.00","1,750.00",Rs./Quintal,4.00,Metric Tonnes,12-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,10.20,Metric Tonnes,10-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,3.20,Metric Tonnes,09-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,5.30,Metric Tonnes,07-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,4.50,Metric Tonnes,05-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,11.40,Metric Tonnes,03-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,7.50,Metric Tonnes,02-07-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,6.90,Metric Tonnes,28-06-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"2,000.00","2,500.00","2,250.00",Rs./Quintal,6.60,Metric Tonnes,25-06-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"2,000.00","2,500.00","2,250.00",Rs./Quintal,11.10,Metric Tonnes,23-06-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,5.80,Metric Tonnes,21-06-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,550.00",Rs./Quintal,2.00,Metric Tonnes,18-06-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"3,000.00","4,000.00","3,550.00",Rs./Quintal,8.10,Metric Tonnes,14-06-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"3,000.00","4,000.00","3,550.00",Rs./Quintal,6.90,Metric Tonnes,12-06-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"2,000.00","2,500.00","2,250.00",Rs./Quintal,6.20,Metric Tonnes,11-06-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"2,000.00","2,500.00","2,200.00",Rs./Quintal,10.60,Metric Tonnes,09-06-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"2,000.00","3,000.00","2,550.00",Rs./Quintal,7.60,Metric Tonnes,07-06-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"2,500.00","3,000.00","2,750.00",Rs./Quintal,7.70,Metric Tonnes,05-06-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"3,000.00","4,000.00","3,550.00",Rs./Quintal,4.80,Metric Tonnes,04-06-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"3,000.00","4,000.00","3,550.00",Rs./Quintal,9.20,Metric Tonnes,02-06-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"2,500.00","3,500.00","3,000.00",Rs./Quintal,4.50,Metric Tonnes,29-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"3,000.00","4,000.00","3,550.00",Rs./Quintal,3.40,Metric Tonnes,28-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"3,000.00","3,500.00","3,250.00",Rs./Quintal,6.80,Metric Tonnes,26-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,500.00","2,000.00","1,700.00",Rs./Quintal,3.90,Metric Tonnes,24-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"2,000.00","2,500.00","2,250.00",Rs./Quintal,6.20,Metric Tonnes,21-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,4.10,Metric Tonnes,19-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,5.80,Metric Tonnes,17-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,500.00","2,000.00","1,700.00",Rs./Quintal,3.70,Metric Tonnes,15-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"2,000.00","2,500.00","2,250.00",Rs./Quintal,10.50,Metric Tonnes,12-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,400.00","2,500.00","2,000.00",Rs./Quintal,6.20,Metric Tonnes,10-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,14.40,Metric Tonnes,08-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,6.00,Metric Tonnes,07-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,500.00","2,500.00","2,000.00",Rs./Quintal,11.30,Metric Tonnes,05-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,5.80,Metric Tonnes,03-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"2,000.00","2,500.00","2,250.00",Rs./Quintal,9.60,Metric Tonnes,01-05-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,5.80,Metric Tonnes,26-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,4.90,Metric Tonnes,23-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,7.80,Metric Tonnes,21-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,5.50,Metric Tonnes,19-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,500.00",Rs./Quintal,6.70,Metric Tonnes,17-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,000.00","1,550.00",Rs./Quintal,4.60,Metric Tonnes,16-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","2,500.00","1,750.00",Rs./Quintal,6.40,Metric Tonnes,14-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,4.70,Metric Tonnes,12-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,3.30,Metric Tonnes,10-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,2.90,Metric Tonnes,09-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,4.60,Metric Tonnes,07-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,5.50,Metric Tonnes,05-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,200.00",Rs./Quintal,6.60,Metric Tonnes,03-04-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,800.00","1,450.00",Rs./Quintal,3.60,Metric Tonnes,31-03-2026
Maharashtra,Sangli,APMC Islampur ,Vegetables,Tomato,Other,Local,"1,000.00","1,500.00","1,250.00",Rs./Quintal,7.20,Metric Tonnes,29-03-2026
